target_queue_length,conflicting_volume,time_since_last_phase,num_conflicting_lanes,downstream_lane_length,clearance_distance,label
0.0,0.0,25.813754422160727,2.0,90.46,7.0,0
0.0,0.0,16.858689530479083,8.0,32.82,28.0,1
0.0,0.0,37.50841469473756,5.0,52.86,17.5,0
0.0,1.0,46.1979991150555,2.0,50.78,7.0,0
0.0,5.0,24.645161989229734,23.0,25.66,80.5,1
0.0,0.0,48.258548393746054,6.0,2.33,21.0,1
0.0,0.0,25.320831329574844,11.0,87.05,38.5,0
0.0,14.0,9.528398262120284,19.0,0.24,66.5,1
0.0,0.0,20.590249553613365,11.0,42.64,38.5,0
0.0,0.0,32.34710916549369,2.0,45.85,7.0,0
0.0,0.0,14.134565987324233,2.0,71.36,7.0,1
0.0,0.0,27.14407082652426,5.0,9.95,17.5,1
0.0,0.0,16.72262740090004,5.0,9.95,17.5,1
0.0,0.0,24.245215780190414,2.0,105.03,7.0,0
0.0,0.0,22.752211202116914,7.0,37.1,24.5,0
0.0,1.0,8.351205083976037,7.0,37.1,24.5,0
0.0,0.0,22.677379011388364,2.0,199.31,7.0,0
0.0,0.0,20.901176944331038,3.0,54.83,10.5,0
1.0,10.0,16.496893617543435,34.0,23.21,119.0,1
0.0,0.0,35.0017470119477,13.0,30.87,45.5,1
0.0,0.0,9.732011022164835,2.0,105.03,7.0,0
0.0,0.0,13.487727565131745,2.0,117.89,7.0,0
0.0,2.0,29.544967144415484,2.0,199.31,7.0,0
0.0,1.0,51.15350262789909,3.0,54.83,10.5,0
0.0,0.0,24.704493690946588,8.0,19.56,28.0,1
0.0,0.0,25.023236142366763,2.0,48.97,7.0,0
1.0,0.0,35.0600759577735,17.0,12.55,59.5,1
0.0,2.0,40.16888606072813,61.0,27.09,213.5,1
0.0,0.0,21.29185658367903,2.0,42.96,7.0,0
0.0,0.0,44.97912084529848,11.0,36.91,38.5,1
0.0,0.0,30.143718161333485,5.0,6.57,17.5,1
